quarter,US03M_1,US02Y,US03Y,US05Y,US10Y,US30Y,inflation_avg,gdp_growth,real_growth,recession
61,3.0778,4.0191,4.3627,5.089,5.81,6.6203,3.57,8.24,4.67,0
62,3.0883,4.0398,4.3451,4.9415,5.5686,6.1301,3.77,7.12,3.35,0
63,3.6416,5.109,5.4635,6.0291,6.5584,6.9348,3.33,7.41,4.08,0
64,4.5104,6.168,6.4792,6.9095,7.2967,7.561,3.5,7.12,3.62,0
65,5.5971,7.2491,7.4439,7.6397,7.7697,7.8924,3.1,6.56,3.46,0
66,5.7916,6.3177,6.4162,6.5758,6.7594,7.0911,1.63,5.83,4.2,0
67,5.4938,5.7889,5.8773,6.0054,6.2239,6.598,1.67,5.04,3.37,0
68,5.1657,5.2845,5.3722,5.5468,5.8464,6.2224,1.3,4.8,3.5,0
69,5.1707,6.131,6.2978,6.5058,6.7361,6.9384,2.2,4.75,2.55,0
70,5.1438,5.9477,6.0989,6.2831,6.5154,6.7699,3.8,5.74,1.94,0
71,5.1737,6.0752,6.2156,6.3958,6.5939,6.838,4.2,6.01,1.81,0
72,5.169,6.0563,6.1848,6.3153,6.4383,6.7112,4.47,7.52,3.05,0
73,5.1645,5.7202,5.7734,5.8471,5.9159,6.1833,3.93,7.44,3.51,0
74,5.1282,5.5093,5.5242,5.5724,5.6256,5.9187,3.93,7.99,4.06,0
75,4.9473,5.2034,5.2059,5.1965,5.2363,5.5235,4.1,8.15,4.05,0
76,4.3671,4.4713,4.557,4.4847,4.7269,5.1456,4.27,7.82,3.55,0
77,4.5425,5.184,4.557,5.3146,5.4277,5.7044,4.83,8.63,3.8,0
78,4.8216,5.6772,4.557,5.825,5.9352,6.0955,5.23,8.14,2.91,0
79,5.4744,6.2851,4.557,6.3717,6.3737,6.3161,4.67,7.81,3.14,0
80,5.8201,6.4519,4.557,6.3331,6.0564,5.8922,4.5,6.44,1.94,0
